,timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1,delta_absolute_2,theta_absolute_2,alpha_absolute_2,beta_absolute_2,gamma_absolute_2,delta_absolute_3,theta_absolute_3,alpha_absolute_3,beta_absolute_3,gamma_absolute_3,delta_absolute_4,theta_absolute_4,alpha_absolute_4,beta_absolute_4,gamma_absolute_4
0,1533232186.843873,-0.055322490820908454,0.7473990115183339,1.1661323443774843,1.503863742411569,1.1370568450154572,1.6987237168538398,2.4595984664269315,1.886328253994681,2.299487947882964,1.7724112165045307,1.4715990726938446,1.124252395035038,1.218116789830698,1.3147631672523818,0.9672782742789303,0.7438752698058222,0.7534995102476586,0.9889838388400904,1.0976552721820065,0.8591094641921773
1,1533232186.96296,0.5154998885124328,0.7426938274685846,1.115333691931132,1.5582773946112891,1.147932368269136,1.9446329125660342,2.742181767561584,2.0115277948362214,2.3162753562746743,1.8258524346672325,1.634726147397944,1.33280657431365,1.2062135355495496,1.403846645392677,1.0054220423556124,0.7548978079137991,0.8252024875016487,1.0281509866569511,1.0665734864839274,0.8500819422891971
2,1533232187.0352669,0.7442600765078745,0.8354467887338869,1.1073277679563045,1.6101286738906053,1.188944730536888,2.3629857940768115,2.9824470787802326,2.1552391658591494,2.365001938943833,1.8529890968747904,1.784075855528651,1.5129551712087577,1.184005553849295,1.4977546183072812,1.0842730149739828,0.67860244008819,0.8998878553351912,1.0661363930875383,1.100246041163609,0.8352495171201172
3,1533232187.1288788,0.8683824589750456,0.842736379234189,1.1962575323000928,1.6437539409662725,1.2309819660499084,2.754863920318864,3.124837217080784,2.2712043256042773,2.4390877562908315,1.8330040865237187,1.8519959294995658,1.5967144933718525,1.1676245151885238,1.5381478592789561,1.1401383783667736,0.5179563782480646,0.9423788944862999,1.0821599299455325,1.1759486349295065,0.792255239432199
4,1533232187.253865,0.7636650930675667,0.8505080286560583,1.270069694844586,1.6591632575706141,1.2543422548310896,2.971107556559854,3.1760846863597094,2.320202469062947,2.50266310740543,1.7685207836085572,1.8387267623876233,1.574456059624647,1.1768816449228623,1.506025575391308,1.1283393813946856,0.5392346296111544,0.9605934719695359,1.0922485827469544,1.275561252518526,0.7220871895934945
5,1533232187.3163722,1.1819181298289934,1.357122066714068,1.3974969700615834,1.6554531189074893,1.300027247688833,3.0751950091156197,3.125919486237481,2.291405319845938,2.5286159012380702,1.6754882389444863,1.7443046479446982,1.4509802080864498,1.2007356301091565,1.4023268703152199,1.0459712262106784,0.6859342022315131,1.4591007510535743,1.1420460711139822,1.3013545422883916,0.672905421502081
6,1533232187.5035028,1.7963219722407626,1.981121447470899,1.6099882524229159,1.6545410224179498,1.351592483003642,3.040227533213575,2.9755920499487805,2.1763887404134175,2.506636058267642,1.5816924382522464,1.4928161436157135,1.3467910301564563,1.2278600442043537,1.2417870055767655,0.9140618083413199,1.5166717940203067,2.034895245071188,1.439092102739154,1.3040690970129007,0.7306386249057214
7,1533232187.56621,2.190409912620117,2.459849215636345,1.88460998959208,1.6603207404353195,1.4140702308295832,2.923262399053329,2.675410797569648,2.025423168770846,2.451097088969857,1.4799947489434984,1.0700847197802115,1.1901771621231432,1.2537188198384608,1.0892450161042013,0.7893400366846974,2.0833100122706125,2.5069243151377774,1.786385874029328,1.263051279850291,0.8625735705984773
8,1533232187.628885,2.4780439207641067,2.7889060488343635,2.1085699087514707,1.6752111843674733,1.4761010429751136,2.6971238128662676,2.309581427689211,1.9215416963388419,2.38910372721847,1.388634903140558,0.43611119168054147,1.1667277167511625,1.2837688431827212,1.0602313991567398,0.7441382914969675,2.4593195665440697,2.824281929362507,2.039866226035275,1.213628454738088,0.9919686313210335
9,1533232187.785023,2.6620996083014865,2.963247211179657,2.228947876495296,1.6943703152512664,1.5249387113716883,2.186859446647788,2.203945205556458,1.825775420425517,2.343533619689985,1.3821932366768168,-0.1788030925651048,1.2495385533039225,1.2986843194307878,1.132923195199048,0.7737262064804851,2.674331753759491,2.999177788488454,2.1720192714895084,1.1966477724006421,1.0791581692896035
10,1533232187.847531,2.7037978199320105,3.021634018250433,2.235909302806497,1.721570853870188,1.5635734558087273,1.4541224039168452,2.3866121443460835,1.8165151861017803,2.313770019711311,1.4556615882864385,0.4396251436056611,1.2934948733960505,1.3066623089193945,1.2109926434047393,0.8010060686023087,2.748459086407563,3.0554556161902053,2.1875106683756367,1.2440709729469523,1.1208009322969195
11,1533232187.912329,2.639210642363828,2.965216704710139,2.1405397503444754,1.7604729119585505,1.5881146875501457,1.3252757111717988,2.6604589389566993,1.9883281871624607,2.3101810138574574,1.5672800695019824,0.5953369035582319,1.3699623808382235,1.3325492998197757,1.247186597004644,0.8297085382309951,2.705357564678232,2.9969853891840135,2.0919504407883243,1.323311686573141,1.1298736878395703
12,1533232188.0469348,2.456349847803034,2.7896656988402957,1.939070117463107,1.7883250470663086,1.6002794104756286,1.9545742175326075,2.8151347205559376,2.211228963358925,2.3225281475910093,1.646239493122136,0.6854460256581545,1.4217219513327974,1.398963021694583,1.2259204284825496,0.8601545971702306,2.532648791307097,2.8187269530520274,1.8740575506854904,1.3827350574675796,1.1109465621184818
13,1533232188.140697,2.126326359566623,2.4857163286735053,1.6719134485548355,1.7961410311366979,1.5787003909589759,2.1024156263096585,2.9134864137976564,2.4050833991975353,2.3517668456279024,1.6822556876447934,0.545848932149804,1.4960638235106238,1.4984031562411049,1.1725943586819803,0.8931598387660045,2.2191496461347184,2.498580851924409,1.524928897774379,1.3913543233949914,1.0597733038116113
14,1533232188.2345052,1.6813812213097639,2.04427808334439,1.4438730914924203,1.7782537259034434,1.5252739507443347,2.07512162851777,2.940323886803339,2.5177850556803913,2.370572809691025,1.6929816834009166,0.5748140990532813,1.5469008442287655,1.5748389294562304,1.1228271243992907,0.9144749988756017,1.7530845482440365,2.0133794764125112,1.101400576493193,1.3337984694864686,0.9866947642530935
15,1533232188.359376,1.3635514192076241,1.5799295159327331,1.371942756896338,1.7453302970467475,1.4515928368723638,2.0226752379067507,2.8752096939499303,2.5329672400090804,2.3558869614995808,1.6917209227441787,0.6866049762493368,1.567810275618897,1.5849335294537588,1.113821422099336,0.9093408541913788,1.1870306625965807,1.389433821451664,0.8087986655109771,1.226733345894759,0.9190099653317286
16,1533232188.421711,1.3831963438758936,1.2922952178760274,1.374420007567863,1.7107979729229628,1.3875468622926055,1.6516234203917095,2.740331594907458,2.4495185820431202,2.3227294611632954,1.6727575075166516,0.7221435276678274,1.6192861629693742,1.5678901403248815,1.174234426002067,0.8699864226704583,0.8597956706689984,0.7986144294218301,0.8087022635744533,1.1119382064301697,0.9111621172940834
17,1533232188.5780618,1.316762455318586,1.2018397914146224,1.339854393329942,1.6850964612913286,1.332940780982253,1.188514035451412,2.526708500133781,2.290626413050289,2.2714241861166578,1.6294429221326956,0.688168051262063,1.7231676606845907,1.5824415052400735,1.295851271297862,0.8207893368448173,0.7404907459337167,0.6487745178105464,0.7270814007286573,1.0219643299533123,0.9312937609235532
18,1533232188.6719232,1.1966661364932842,1.1292806553792927,1.2942771811470477,1.6597598740669213,1.294013549573969,0.9202850461482346,2.258732413112476,2.0771845544947456,2.2390409649877565,1.56444457268017,0.5398772624095359,1.88075911632495,1.642231548110694,1.4399175130434685,0.8197741668660495,0.6388398828111872,0.5689858043224555,0.714429162393328,0.9999905137873727,0.9679321447885396
19,1533232188.702977,0.9239899460095796,0.9902529897172916,1.2221398155709184,1.6330868104949265,1.2460364834687425,0.9798544616772662,2.024371130887259,1.9042559993767376,2.243252619556198,1.5082148947311094,0.5985244095803676,2.0163154565026806,1.7037414187544886,1.5456178909419898,0.8994768049314439,0.5320524665018338,0.4714041082155608,0.7241662073552981,1.003341914151848,0.9781226996626331
20,1533232188.88001,0.7333870232063897,0.7467017333857622,1.1308647169854673,1.6077039837883618,1.1876990117318054,1.4587618182713191,1.949053767458604,1.8762434535605832,2.2870491810429403,1.488402970012171,0.9235428754496086,2.088265888420836,1.7282975486233823,1.575014068903492,1.0164091669210191,0.5814441101726211,0.3227644006123413,0.7737605918068523,0.9996655955574935,0.9538636715550574
21,1533232188.9330618,0.6211140620550816,0.903232305902805,1.0849077830858376,1.5818859571496433,1.1192609497707204,1.6718905472252712,2.005243430274813,1.862120281813029,2.3251973902948855,1.4984681014277077,0.9202953409203785,2.1206096808051385,1.6983442767616255,1.5345986779791736,1.1047407309164041,0.14670255058573972,0.8611884294851132,0.911062281702003,0.9951872893977355,0.9039052996742192
22,1533232189.006033,0.8739327959356881,1.3257320159128057,1.1212408440470025,1.5502602827467584,1.0471517887231614,1.8658973553215785,2.1901515841134858,1.83685085944889,2.3580604602153614,1.518900571702115,1.08796942362752,2.131045403043085,1.648450222229095,1.4603228763974427,1.1499845007256781,0.5031667468031977,1.4020227707873933,1.0423334757785723,0.9848742952405397,0.8679087409992272
23,1533232189.161623,1.4206942572839703,1.8613768424691397,1.4230888395228907,1.512696047144719,0.9804989097809682,2.1617679070468623,2.2723658953103394,1.8458603791975128,2.368544912346755,1.5406064494521023,1.395586516597585,2.1190655894193893,1.701917078766771,1.3917749802838748,1.1505899679860803,1.4211543901797048,1.9679039568045522,1.4227190003114236,1.0390870843704756,0.8806198804279232
24,1533232189.224403,1.876547909772892,2.2840306803852157,1.7170175864198283,1.4691368993142118,0.9212515294837063,2.468089499865071,2.4936602840797977,2.02466078035595,2.3831965798225725,1.5464448661686152,1.7897511379371922,2.164054499004221,1.8233144154351564,1.375908345807156,1.1085169966367774,2.1841519710005683,2.407395483849377,1.760218549008333,1.048462208260354,0.8872809115693605
25,1533232189.307745,2.1925401673194096,2.5410508048484424,1.915856940927129,1.4245747099250792,0.9392964875321669,2.7712533288707153,2.7539991554284167,2.3457568213363604,2.427998945656988,1.5937994079863833,2.069479248222316,2.2438176871644884,1.93392279633337,1.4237788820527775,1.0471740971818764,2.6051052085305875,2.7048305054655204,2.103431522372069,1.2148716650002598,0.8922955481111283
26,1533232189.4596689,2.3707110773425306,2.6647865637076458,2.0077263605755835,1.3867803048080467,1.0008894806309012,3.0475337955659545,2.9797802841678975,2.6332910955994637,2.5186717344667446,1.676101762130867,2.174886773820267,2.330158223019571,1.9866166932766165,1.4658311379549303,0.9779322498154719,2.909063547317417,2.9110845758667567,2.3443327288468376,1.4743059467333544,0.886756609705744
27,1533232189.522063,2.4181826250415215,2.6708855789707653,1.992489959007356,1.3613927214337225,1.0563501674486744,3.190519650242498,3.150268531298494,2.8320380020489004,2.6253433785303533,1.7739551564970186,2.1739408970122454,2.369550001898719,1.9709593981802354,1.4755960182172172,0.9595272413748024,3.080958887936063,3.025940282204564,2.491849417010096,1.6876800999380308,0.8675609685024324
28,1533232189.678511,2.3484737121172077,2.5592136516277004,1.8730581353345566,1.3479093698514812,1.0865556987427396,3.280904234892676,3.209286857928925,2.9237792855244176,2.720067605572423,1.8348521882151787,2.1706218197926694,2.3135568388065764,1.861015710220696,1.4596205648865377,0.9979044894924656,3.136142257274673,3.058000988038517,2.543356590071321,1.8117263948163063,0.8486903375639053
29,1533232189.741063,2.1533279331890567,2.3177338143134683,1.650335328695741,1.3510950307602787,1.093753718077689,3.3097958295116694,3.1715049259726444,2.9052589364817254,2.7564234371700076,1.8555765233863144,2.039682944538022,2.1943177117414154,1.7264226675420655,1.4037582048814587,1.07118101879247,3.0795255544917737,3.0081349500837806,2.4962242490347277,1.8351839335913434,0.8314747551099624
