,timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1,delta_absolute_2,theta_absolute_2,alpha_absolute_2,beta_absolute_2,gamma_absolute_2,delta_absolute_3,theta_absolute_3,alpha_absolute_3,beta_absolute_3,gamma_absolute_3,delta_absolute_4,theta_absolute_4,alpha_absolute_4,beta_absolute_4,gamma_absolute_4
0,1532043490.075376,2.9815670489236803,3.2241836903175436,2.1482767628090995,2.1586312992034773,2.2139883976569714,1.726772831361069,1.6791354116392245,1.1831714045489934,1.5825954368487416,1.5570217277695375,1.1147775667742845,1.3669082993715451,1.2980124107652071,1.9781662590028801,1.94933652588202,2.5339887804845618,2.1478207319357305,2.2814356900339177,2.297256954236814,2.102421161938149
1,1532043490.170002,2.793170527922251,3.239802477126564,2.179836111441392,2.165862432174605,2.2269630920775043,1.649385692347835,1.6364241299176123,1.153441541616251,1.5992505728478599,1.6692711941134202,1.3750946102931736,1.3524380538475282,1.4423127921987058,2.1114453023721613,2.126545515967584,2.4961900282916027,2.059158677011887,2.323247783654216,2.373062254444869,2.25404990453827
2,1532043490.170922,2.3563043042709038,3.1567804793995173,2.1597028360782953,2.154256107029074,2.201633237198084,1.4824266934160308,1.5310831995045375,1.0397876021082195,1.5837771037684518,1.7308827958307622,1.5215033649631347,1.3639896034581742,1.532059045110636,2.206721620679082,2.2559773716525435,2.553786707958438,2.024316446409377,2.322852909955059,2.4308655407111917,2.3543378445781644
3,1532043490.2916882,1.3577878442528326,2.9576286612938456,2.062252984673293,2.101892740355109,2.129308506999464,1.3240615679980887,1.305308396315243,0.8411431645346152,1.5253548482409671,1.718189440432114,1.5329629154105573,1.3842555483884258,1.5518672577573356,2.2414628453221845,2.3191741701978037,2.6884824356591026,2.0567732116749724,2.2574611379897402,2.456828625198765,2.3832208948120828
4,1532043490.361758,1.6316888104178444,2.6454320016059776,1.8589719008900625,2.0105162673986086,2.013902352084305,1.0687379394196947,1.0567340228136863,0.6214541769574422,1.4277326060995141,1.6282456903936304,1.4873545148564866,1.3260122156044372,1.4814908914819385,2.207383604191875,2.309952497725263,2.7810501125812404,2.1119782940298246,2.1251225449155196,2.434013761789565,2.3370243727520092
5,1532043490.430558,2.1476014974985906,2.258749845229472,1.566334076431412,1.8895914950128117,1.855599818083618,0.6543689567803016,0.7676662456405404,0.5096481350254766,1.317338229272871,1.479710448455127,1.3253317703586354,1.1764849490991345,1.3120847434622567,2.1033700003422364,2.2296990196121227,2.8107196764324844,2.186794341783026,1.9152925966596692,2.370089269225406,2.2226009370494415
6,1532043490.634366,2.2083162409848787,1.902216279414557,1.2551034365016158,1.7555651754325934,1.6628940050064016,0.4702212142860859,0.4268957164448409,0.47075169971399217,1.2423609892348548,1.3220250825559576,1.044123810027187,0.8933559237079944,1.0289067262247424,1.9355441428586675,2.086896988296875,2.8355874057798762,2.155488396792467,1.757958999277484,2.230163450436323,2.058864599731038
7,1532043490.683371,2.0480711584791123,1.6554357093586898,1.0271362665589703,1.6194644895873902,1.4843447572521606,0.30541387120277896,0.30294503686754254,0.49235535021509347,1.2496718196152565,1.2294059663845374,0.7119321609823256,0.6113324922674791,0.6658138581519132,1.7356087863574878,1.915468679808026,2.7495538798158368,2.28268422127907,1.715440002786953,2.090549732442693,1.9126029606852728
8,1532043490.77006,1.563479219320579,1.484017882061209,0.84939961806693,1.5375619881796903,1.334340753091198,0.4470713794570849,0.21284849123159788,0.4797546139494128,1.2872995296479257,1.2077542535467063,0.15428596501777092,0.42445901113724266,0.395189569288759,1.5751056453461063,1.7754867270385613,2.6616837563960054,2.504863967196036,1.8929701782334531,1.9903001328530046,1.8159884214258737
9,1532043490.945038,1.2030747673637827,1.341085673794774,0.9525226767359283,1.5025850242836714,1.2623078116306439,0.5399306715637163,0.32834518478018504,0.4387772497605163,1.3075026698149812,1.2147559757939097,-0.25391220321692864,0.3295966389569615,0.31357845546344026,1.524240163336282,1.7244178335348284,2.7515680235245075,2.659423995829964,2.1123061682004556,1.9515015715325832,1.7459610471695404
10,1532043491.0136788,-0.6349935123409478,1.1966485211913132,0.8842921654349649,1.449002177674047,1.2252433865684127,0.6156054714053192,0.487545476343979,0.4170698700687227,1.301563825103976,1.2232889722223559,-0.2927016442955705,0.30074329248072423,0.3857323058831775,1.5554230988507969,1.7333683084594258,2.7389345783720946,2.795272774604926,2.2163652877685123,1.9570247479166882,1.6672033873751286
11,1532043491.081609,0.1706224869185939,0.7070438529647014,0.7307251714140925,1.3801611747119888,1.2287880200399826,0.6163200465825717,0.6413145205744648,0.4164403207379843,1.282662303158854,1.2343616220980727,-0.2666917050107568,0.2895664397542953,0.43739817189629543,1.5854079778403463,1.7463735072808169,2.7800013109258113,2.7729787217573705,2.199451548474661,1.8967073269511268,1.5472467665968361
12,1532043491.197629,-0.24304698349502368,0.5551384985424684,0.650840570499847,1.331940476912624,1.2560114773191602,0.6451286953071957,0.6934234011580566,0.4664883046953499,1.2652349392746,1.2404566337250633,-0.15335946248540303,0.27980566726569256,0.43597010876123027,1.5822442640398517,1.7605860545522973,2.708548134562034,2.653948397742298,2.140085864400654,1.836958165023673,1.4396005941214092
13,1532043491.283052,-0.46228211618368364,0.2915118670970464,0.546609206153855,1.2738668858977458,1.2677560685982454,0.6455121311165912,0.6669649314294059,0.5248827367329791,1.27036634809679,1.2287923911481415,0.015310280832015749,0.22103218790840887,0.36261091827181613,1.5525347105974596,1.7523742254130636,2.46117694858716,2.446215081631983,1.9864865690531595,1.7573876880656263,1.363284419851011
14,1532043491.43925,0.26340348698092936,0.698774616791092,0.6008342555590253,1.229742939026187,1.2400584445224976,0.6956514808552323,0.5442334560999511,0.5815177989011867,1.304858552297994,1.194089015578423,0.19993449987469705,0.14083899036129371,0.264759692324083,1.5215775929847601,1.729412151265805,2.0869174822380687,2.108052591452709,1.7643878810502336,1.65899416517028,1.3019286738528855
15,1532043491.505962,1.1341744865308911,0.8777410934492325,0.4876857407337041,1.214265825757735,1.1713096885593253,0.7526430228745669,0.38333302724737667,0.5729387785324535,1.3530865350137113,1.1485596567699345,0.3591358122018991,0.05634778606104882,0.12926450813325335,1.5061685095087212,1.7097678334487811,1.6841470389875732,1.7041422051414963,1.5102649267726151,1.5473915238992124,1.2398179068689916
16,1532043491.5717142,1.5568933081721386,1.3957595377391179,0.562434823865789,1.2078286379586918,1.0792880690541038,0.7414252485523114,0.40417021428145566,0.49839467884508337,1.3871037881907906,1.1017393790866326,0.4817490159294104,0.01932860403868468,0.04356641178103629,1.5273378152848187,1.7323982194556242,1.4656576514676143,1.566820068972332,1.28011268929339,1.4743153683507042,1.1992047141854247
17,1532043491.7508929,1.9063570395871698,1.7615736217784035,0.8573822440268531,1.2343015436288693,1.0699146136500957,0.7642317805961344,0.4663530657038968,0.39911287269194656,1.3803910278307054,1.0735188734044652,0.6200813657325474,0.08266594547285384,-0.003131751285185232,1.5976577273738246,1.8156628849829337,1.639201735406282,1.8005593858249118,1.140876314253162,1.4693145836124162,1.2473901716907376
18,1532043491.799385,1.9474663587715413,2.0301748113646156,0.9787300613973278,1.2210164465638473,1.1686280085784075,0.6921317042578223,0.5801627375018054,0.3072244932737712,1.3243086430776967,1.0746127234393072,0.6945350252415133,0.20048202887986588,0.030826015721818065,1.702675735445601,1.9057430661058097,1.713433875602621,2.0202227961634853,0.9806304263709189,1.5072427142178826,1.351153555606483
19,1532043491.864774,1.879506296138193,2.190170158809287,1.082294700911919,1.188047683732112,1.3012994858664089,0.5334224890693097,0.6444126461483494,0.24882259247158356,1.2376961008747072,1.1010948763610058,0.6735778003942589,0.30943843221072403,0.1239843271349066,1.7918777032524507,1.9593255058713468,2.1434282959663227,2.069142361379791,1.0198445727714143,1.552240487578726,1.4730268798670283
20,1532043491.993514,1.4404451013277957,2.30408812614818,1.2340211892668607,1.2001041902052447,1.4339807969625031,0.2334407964088758,0.6565884783212667,0.2165815750520052,1.1607084987914227,1.1404827636972485,0.5745296904896815,0.3519800497258148,0.2086408712421034,1.8290368577635931,1.9541171808945181,2.2562396595833683,1.9718470519657467,1.0264403077289588,1.5372611001728416,1.5502031324821957
21,1532043492.037415,1.4393042386985675,2.3476123379360208,1.4260482041648097,1.2872964430888831,1.5260997579696043,-0.1545926360783268,0.6260371611905033,0.16441561141428984,1.134245309876828,1.1703055425396773,0.39912270772929165,0.3227633765182492,0.273444202839176,1.8045515578434896,1.8945534673635451,2.298195715107744,1.9585902384203884,1.0340807941632204,1.581271755285698,1.5915885057252745
22,1532043492.146818,2.0551058867274414,2.309784644304546,1.6274619587535577,1.4848987464942878,1.575431239343228,-0.45437197137027224,0.6046288442822555,0.10135944887361872,1.1539387832312569,1.1803846377404188,0.22801619219882896,0.2325501337404932,0.34363488180644425,1.7312312795298943,1.7876782726852944,2.3902759272416745,1.9498305386480377,1.3045040880268826,1.624767936452936,1.582171991122704
