,timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1,delta_absolute_2,theta_absolute_2,alpha_absolute_2,beta_absolute_2,gamma_absolute_2,delta_absolute_3,theta_absolute_3,alpha_absolute_3,beta_absolute_3,gamma_absolute_3,delta_absolute_4,theta_absolute_4,alpha_absolute_4,beta_absolute_4,gamma_absolute_4
0,1532037891.803097,1.6580657754526433,1.920649112956271,1.971814363708217,1.9414257914510926,1.5299870681827143,0.4791642607659116,0.9509055625233298,1.0048254750053776,1.337301035246169,1.0037506007834618,2.6738753569521263,2.83973789600412,2.529186366269833,3.0687792906058333,2.9630476064505222,1.7166274361321412,2.4367948313166514,1.8916981276298097,2.0533264688756216,1.7510895587357478
1,1532037891.981476,1.2863611022574828,1.8674405213768632,2.0247482032641066,1.9123822256768808,1.5998832965084644,0.3878245619435377,1.0347198347748694,1.0491352519847066,1.4402963557212352,1.0059886340629056,2.444285303530064,2.8420908889261263,2.5114791675785,3.1464509379363412,3.014643679691166,1.4582060847805152,2.1664036262047337,1.8907796447741407,2.011870274641812,1.7093688289779667
2,1532037892.067775,1.305692996992907,1.6117116268779834,2.042394150447701,1.8925003441221282,1.6767307421809958,-0.02342797129165855,1.1436297392657164,1.0708469412130794,1.5209088933216215,1.0347658125109982,2.0270896190573087,2.780209355902403,2.4592294601827116,3.2137766430832766,3.107953363779327,1.4681034144782876,1.8704365069289335,1.940394874974064,2.040864142040727,1.7518108658118765
3,1532037892.309221,1.1805053051945986,1.3526894916795795,1.9850345009212729,1.903149574362065,1.7291016040936777,-0.2445439051239616,1.1960000398981223,1.0563868412350437,1.5637574229967144,1.0691609175782089,1.7300335675007232,2.6385913908358045,2.3719029218809036,3.2492422858291734,3.188014415307009,1.630806482136207,1.651730575539221,1.9905305762273628,2.1057910359753236,1.8765410466986234
4,1532037892.397445,0.9096981607200283,1.1353358026352502,1.8686953334021366,1.9250595216116928,1.7427825477651917,-1.0104824488658044,1.2531835806292175,1.009574101078077,1.5618292537797682,1.0968030769624186,1.674419234009362,2.519121231475225,2.2755651570749253,3.2346931346857932,3.2344070298978167,1.8376070015300618,1.4634534840461462,2.0156997805084558,2.1403254130109577,2.0199394563640576
5,1532037892.397659,0.8234947890157511,1.075102830692899,1.7194514016071443,1.9410832071724164,1.716066994262509,-0.3554868165198037,1.294011889549877,0.922803546225432,1.5226816410571882,1.1077861855502988,1.9614367687525043,2.372910574224312,2.131659595833256,3.172748390380743,3.2382827916931145,1.9267131596765241,1.4966885695482408,2.019089388854811,2.125227472369197,2.1172174180820424
6,1532037892.51872,0.5935732641572375,1.2769637604448505,1.599577114574238,1.9483774994194993,1.6571533170270245,0.3573200761187785,1.3455476763158558,0.857960533013509,1.4720287399824183,1.1003959003617119,1.9302408668149935,2.3598295565764738,2.083432353501374,3.0831661359259295,3.203058754729033,1.9306489281375727,1.8101155570465879,2.004991429335665,2.04226894671187,2.1345412466641354
7,1532037892.589206,-0.6987484234188512,1.5328228585590933,1.5941355783718856,1.956355495563065,1.5816169469076533,0.728950121847416,1.3739526218313212,0.8709180779542072,1.4250508081475763,1.084396030953461,1.6919027821059103,2.3616475286350376,2.169911404974651,2.9979088208867313,3.1343948020765287,2.0223884320867795,2.040047472542466,2.0005226182785045,1.9251708889240637,2.0687080984609705
8,1532037892.678559,0.06999985906554541,1.712037952858131,1.6926738888121933,1.9681237304540757,1.5099924022759972,0.9139805592560175,1.3719778921996268,0.89145184299936,1.3819596303529282,1.0776591092503152,1.340071969705848,2.312210722915026,2.2866984997940105,2.9345221947575597,3.0501775133455826,1.9888439137333143,2.218227648392529,2.025896542180022,1.8820990888497093,1.9303287060845251
9,1532037892.794346,0.7970696732164061,1.8291878389463745,1.7605526342808577,1.9803022493450244,1.4502472042383554,0.9867518686467708,1.3215140716589528,0.8906267585911213,1.329922355456,1.0815768188822543,0.41320654683082025,2.283008436739222,2.363878658417067,2.882908223587842,2.965977184986594,1.7810526700351819,2.296329401469829,2.083262301460932,1.953618449299376,1.7785768428021589
