,timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1,delta_absolute_2,theta_absolute_2,alpha_absolute_2,beta_absolute_2,gamma_absolute_2,delta_absolute_3,theta_absolute_3,alpha_absolute_3,beta_absolute_3,gamma_absolute_3,delta_absolute_4,theta_absolute_4,alpha_absolute_4,beta_absolute_4,gamma_absolute_4
0,1532120614.206307,2.3603992854381977,1.981350665516908,1.8409073681870447,1.7117564490734656,1.4949632594127444,0.8772870472704875,1.6556324569231549,1.5245794074700723,1.7628906909896223,1.7414013585771306,1.7682786799154155,1.2833535723074598,1.4537748188677555,2.061260951886348,1.8790331618160694,1.3048425038412046,2.1296028140673173,1.6335874490764146,1.9630338314736957,1.7394664948623655
1,1532120614.3659348,2.3969014698478106,1.9081657143965358,1.6845086019080164,1.6751333936378656,1.4841025175555933,0.24967045498623539,1.3449706065196483,1.585713629821107,1.8015289662565055,1.778933283160046,1.9748875018573333,1.4466095180690237,1.6150163015276375,2.0431483609418923,1.9030737046207038,1.7319406444398704,2.0778988803420546,1.6289131168552407,1.999391659591465,1.6892161182007823
2,1532120614.432867,2.4765447421417495,2.097154132318638,1.5360550990637019,1.7031809110108158,1.4775110256719965,0.6658540468140068,1.064136799138186,1.5787243620015188,1.8477072866319109,1.8323744016475882,2.078796777032263,1.631432366480932,1.802782823837467,1.9903649988266165,1.947728125072593,2.1263717558867725,2.190116528507104,1.705507727596472,2.018649271659138,1.7268059220983418
3,1532120614.5018759,2.6674384218884324,2.388467634020127,1.5589374851801685,1.783554755118179,1.5093209062528359,0.5930983903050181,1.0145538594130339,1.4856136181521056,1.9129926174432268,1.8954837139715448,2.090322671304184,1.7555521579079314,1.9201644385703573,1.9057255477718242,1.9988312223368976,2.516340405130238,2.3668326711948033,1.8543177937889752,2.008473338270846,1.7791471551465825
4,1532120614.639976,2.852463023298446,2.59762206909478,1.629752752980141,1.8725293015853273,1.5627869376526162,0.4428802466365394,1.2946073618844827,1.4149457872514786,1.9799553467336903,1.9562012100725075,2.020105016431373,1.7843749555192303,1.949750247527808,1.7947428808951547,2.037454490753554,2.792833767640248,2.5564129087141563,1.9847939059088495,1.978166634530542,1.8046196553180656
5,1532120614.7064312,2.981224773187189,2.7078304218659563,1.6590606124565652,1.9362212601571585,1.61549353640691,0.8660048685900937,1.617027861893145,1.5092828116628554,2.049712755933994,1.9945091191894928,1.8189570320444268,1.7442287444506483,1.8833761989517996,1.700927679852634,2.045395830189928,2.9946145110959765,2.673423004472766,2.064415655331998,1.9457525580085668,1.814274673021926
6,1532120614.8831038,3.048550896556606,2.7382670881016855,1.6923574178578185,1.9693646533799691,1.647142497168191,1.2949201744358683,1.852453786689114,1.7328162011119204,2.0956768118743616,1.9959686895291255,1.4393944509348877,1.6223364795575663,1.7218538836720814,1.639286216133471,2.019236185536858,3.1117464889538327,2.7174286870060023,2.076132728709622,1.9284094425170282,1.825971574300014
7,1532120614.970468,3.079398347710093,2.7141981804195106,1.7125023752475503,1.9713416085216364,1.6493781602648376,1.613919195525434,2.0125979062207695,1.9041242073921438,2.1002739861681117,1.9737204601370524,0.7001470844722222,1.4933505766320587,1.4823199713692832,1.633814795703178,1.9616163977956977,3.1435036280399977,2.737813535864128,2.03092099930178,1.9309299221824072,1.8412734357473708
8,1532120615.039055,3.0733545781459664,2.7564699592347663,1.7834503346256618,1.9491590233588871,1.6463834942910236,1.758710061646501,2.053830180274299,1.9692849679377669,2.0762692987456464,1.945761959252046,0.737193538959355,1.4594481245853812,1.2218515526266334,1.6415775083669069,1.897497411184674,3.12326466643969,2.7858046602892146,1.9871393820136818,1.9409503781028368,1.841195049545274
9,1532120615.215934,3.0528930009248394,2.897253898999069,1.8350287467384767,1.9325396549787517,1.657888640702842,1.7034948475712866,2.0126472622720426,1.9337284402863564,2.0378589373789806,1.9230201339846948,1.2992460283681977,1.6007030978441985,1.1076061413308502,1.6285462471186087,1.8594983363562136,3.0451394970949233,2.9498993331949017,2.041444847012797,2.0159333695307047,1.8155139494846415
