,timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1,delta_absolute_2,theta_absolute_2,alpha_absolute_2,beta_absolute_2,gamma_absolute_2,delta_absolute_3,theta_absolute_3,alpha_absolute_3,beta_absolute_3,gamma_absolute_3,delta_absolute_4,theta_absolute_4,alpha_absolute_4,beta_absolute_4,gamma_absolute_4
0,1532127840.5250359,3.41714883619433,3.328014045957416,2.4270438403055903,1.8062461537391188,1.6789298893336602,0.6867476291164362,1.0175103513690211,0.8957385934198142,1.7959935041207362,1.6450734749380413,1.092764158441711,1.9656507066137394,1.5181676831991064,1.8870758508773169,1.7388607622596883,3.6406196534366275,2.7958138648050044,3.1472895099893488,3.4210360969499063,3.048126236456832
1,1532127840.685566,3.379811459663638,3.1348057775274194,2.370566629021047,1.7334951018364873,1.693569764327253,0.5885685669204362,1.0906228637176727,0.7962744655108044,1.7387339886286248,1.6164615035373333,1.2386293630304748,1.7692177917128569,1.4787580149452768,1.840627550327567,1.696323559771888,3.5894418202227607,2.712326446600569,3.1265380255973203,3.425190452935094,3.030567250007503
2,1532127840.7764618,3.237433693523649,2.9545967274133753,2.2943815070120595,1.6928168965432822,1.700304006338033,0.5451797424296515,1.150848654370849,0.6448277842382776,1.6612648311254334,1.5310094624580228,0.8864528369445267,1.6024512220069433,1.4179069683208845,1.8313524784194852,1.708830982909342,3.480973191491561,2.7526171092146834,3.100739626556003,3.470501599600661,3.0117083858238414
3,1532127840.823998,2.983899823921523,2.8094157200516445,2.1667726558750666,1.6876923004187911,1.6636399902779937,0.5808858028633823,1.1664400845081344,0.5315731720553905,1.594024651536249,1.402432835482269,0.9303309689491182,1.4105204729192002,1.3951868143315571,1.868078355999689,1.7552576838508782,3.335194053805359,2.810726357471706,3.0634754305017697,3.51529033368424,2.9879724654665694
4,1532127840.942465,2.615060121209637,2.6966168423595214,2.022543182883324,1.7191928511037564,1.5911049550710559,0.4067802377705076,1.1407635489955,0.5583212823543885,1.5656957688379842,1.29235684537022,1.1248680839591194,1.2193092042110607,1.3870858756349072,1.921366962214658,1.787155095740192,3.122406875898313,2.8895594408061474,3.0826462516973434,3.5156696367930027,2.9661021395595895
5,1532127841.010198,2.3437755284667734,2.707440059827487,2.0922044860679962,1.92265342909059,1.5231608545095459,0.025359920638466857,1.071982652227229,0.6621202542333996,1.5929787017090844,1.274789415676851,1.1158820353766343,1.46763379379242,1.5192810429209875,1.9827700153770456,1.806332554641171,2.6075817123107483,3.084696744666818,3.1630557909280026,3.4662512770901124,2.982176052387403
6,1532127841.208251,2.9094965623203057,3.0720716797062892,2.2939219875504206,1.8769835890986126,1.4363658097302654,-0.5218291767161662,1.0267434332572214,0.8060384126975393,1.6692110555584625,1.4012003844909224,1.560897900266399,1.5947169877314613,1.6477673047843802,2.0359606709410247,1.8271199110346572,2.2140582474531336,3.265943258936493,3.224920218573548,3.4034251396517567,3.015858157052758
7,1532127841.273988,3.283503994850739,3.3862426495715456,2.8044768346308806,2.015722259222795,1.4093274714461872,-1.1212657348463844,1.094759955801267,0.972641434613869,1.8058872677114137,1.5860361135048109,1.5921128268004132,1.9542869649176489,1.8350379971282273,2.0749653573062043,1.8858783690570124,3.0615280490221326,3.524573260355384,3.2950913982924424,3.336743792141599,3.06531811047357
8,1532127841.3381891,3.7616514458036083,3.6630698910388597,3.142226189662534,2.308898246608829,1.5848252456823546,-0.7359964339960348,1.2876913208206653,1.2160971184316474,1.9708563797204168,1.7685141404800084,1.6196552435530922,2.2139063362453273,2.0283649409157802,2.072014042565459,1.9499205686100318,3.5273525774405363,3.822403034035424,3.3818462381373475,3.3149386444783504,3.0819791946944473
9,1532127841.4894052,4.037260007247524,3.8621694137064373,3.4558632788923918,2.60824268724157,1.6617109711013276,-0.7153907686922304,1.52713497053017,1.4660421087350561,2.1594974031979635,1.9341390984029678,1.7911218612225805,2.476003631666388,2.1662985277040354,2.0297955007836856,1.985626160482762,3.6661417281140105,4.029554022317032,3.4396175272967233,3.300994043268209,3.054578490764975
10,1532127841.562911,4.254804121027119,3.988964544336417,3.644490745906385,2.7983423856368477,1.8009368220583608,-0.01585553184448289,1.7543140307284035,1.6697656184479692,2.317237847722811,2.062960635217095,1.9176594341119502,2.6931509816665824,2.229639816272511,1.9639995012128737,1.966868965861677,3.6972758407329667,4.146387571855579,3.496263423810081,3.2744722439311524,2.982428653919119
